('10-21-2016 12:51', '44.40', '22.40')
('10-21-2016 12:51', '44.60', '22.40')
('10-21-2016 12:52', '45.50', '22.50')
('10-21-2016 12:52', '44.80', '22.50')
('10-21-2016 12:53', '44.20', '22.50')
('10-21-2016 12:53', '44.60', '22.50')
('10-21-2016 12:54', '44.40', '22.50')
('10-21-2016 12:54', '44.80', '22.50')
('10-21-2016 12:55', '44.50', '22.50')
('10-21-2016 12:55', '44.50', '22.50')
('10-21-2016 12:56', '44.20', '22.50')
('10-21-2016 12:56', '44.60', '22.50')
('10-21-2016 12:57', '44.00', '22.50')
('10-21-2016 12:57', '44.50', '22.50')
('10-21-2016 12:58', '44.60', '22.50')
('10-21-2016 13:01', '44.60', '22.50')
('10-21-2016 13:02', '44.80', '22.50')
('10-21-2016 13:15', '45.50', '22.50')
('10-21-2016 13:22', '44.90', '22.50')
('10-21-2016 13:40', '44.30', '22.30')
('10-21-2016 13:41', '45.10', '22.20')
('10-21-2016 13:46', '45.00', '22.10')
('10-21-2016 13:48', '45.00', '22.10')
('10-21-2016 13:49', '45.50', '22.10')
('10-21-2016 14:06', '44.60', '22.10')
